iter	Logloss
0	0.657299668
1	0.628142087
2	0.6032543554
3	0.5829637989
4	0.5662710058
5	0.5517728937
6	0.5391119482
7	0.5273781004
8	0.5190529708
9	0.5097929928
10	0.5012945197
11	0.4958604487
12	0.4912197474
13	0.487165378
14	0.4817923291
15	0.4771851329
16	0.4733524249
17	0.4674521198
18	0.4628722723
19	0.4571264873
20	0.4515192744
21	0.4487251163
22	0.4462994771
23	0.4442217676
24	0.4423154018
25	0.4408989177
26	0.438534511
27	0.4360025946
28	0.4346739952
29	0.4326793473
30	0.4302166348
31	0.429158016
32	0.4290408753
33	0.4288180921
34	0.4272602259
35	0.4267050321
36	0.4258578872
37	0.4258410226
38	0.4254760637
39	0.4251575334
40	0.4246172017
41	0.4240391926
42	0.4233379043
43	0.4229567638
44	0.4212951423
45	0.4206310836
46	0.4195956127
47	0.4192969155
48	0.418605976
49	0.4178825798
