iter	Passed	Remaining
0	320	15693
1	453	10895
2	454	7127
3	456	5247
4	533	4804
5	534	3922
6	536	3295
7	537	2824
8	538	2455
9	539	2159
10	540	1917
11	541	1715
12	542	1544
13	543	1397
14	544	1270
15	545	1159
16	546	1061
17	547	973
18	548	895
19	550	825
20	551	761
21	552	702
22	553	649
23	554	600
24	555	555
25	556	513
26	557	474
27	559	439
28	560	405
29	561	374
30	562	344
31	563	316
32	563	290
33	564	265
34	565	242
35	566	220
36	567	199
37	568	179
38	569	160
39	570	142
40	571	125
41	572	109
42	573	93
43	574	78
44	575	63
45	576	50
46	577	36
47	578	24
48	579	11
49	580	0
